index,start_totaldays,end_totaldays,duration_days,strength,strength_double,start_year,start_month,start_day,start_hour,start_minute
0,15.085405349731445,15.185405349731445,0.1,Light,0,1,1,16,2,2
1,25.722517515334967,25.832641119052308,0.11012360371734109,Light,0.10123603717341077,1,1,26,17,20
2,37.679049349368185,37.796271110370846,0.1172217610026591,Light,0.17221761002659103,1,2,8,16,17
3,49.545908260610034,49.67110577505909,0.1251975144490528,Light,0.2519751444905278,1,2,20,13,6
4,66.36483625093472,66.49795032194486,0.13311407101014416,Light,0.3311407101014416,1,3,7,8,45
5,82.83082572115367,82.97515768869556,0.14433196754189437,Light,0.44331967541894357,1,3,23,19,56
6,91.73934483303213,91.89466160564888,0.15531677261674787,Medium,0.5531677261674784,1,4,2,17,44
7,102.54345641445012,102.70471952310011,0.16126310864999072,Light,0.6126310864999069,1,4,13,13,2
8,117.40707873467618,117.57554854871185,0.1684698140356798,Light,0.6846981403567979,1,4,28,9,46
9,132.04915712421996,132.22754082442043,0.17838370020048272,Medium,0.783837002004827,1,5,13,1,10
10,140.30766603200092,140.49581772719742,0.18815169519650957,Heavy,0.8815169519650955,1,5,21,7,23
11,154.06272809697526,154.25639197685575,0.19366387988049885,Medium,0.9366387988049883,1,6,5,1,30
12,166.22806284286833,166.42806284286831,0.2,Heavy,1,1,6,17,5,28
13,174.48369424202298,174.68369424202297,0.2,Medium,1,1,6,25,11,36
14,183.30742680885646,183.50742680885645,0.2,Medium,1,1,7,4,7,22
15,197.5949278578982,197.7949278578982,0.2,Medium,1,1,7,18,14,16
16,207.80152442314477,208.00152442314476,0.2,Medium,1,1,7,28,19,14
17,218.50429675438255,218.70429675438254,0.2,Medium,1,1,8,9,12,6
18,230.52730171539633,230.72730171539632,0.2,Medium,1,1,8,21,12,39
19,240.51407515861837,240.71407515861836,0.2,Heavy,1,1,9,1,12,20
20,248.69649941780415,248.89649941780414,0.2,Heavy,1,1,9,9,16,42
21,261.74098613121356,261.94098613121355,0.2,Medium,1,1,9,22,17,47
22,276.05825326301897,276.25825326301896,0.2,Heavy,1,1,10,7,1,23
23,285.5559334025606,285.7559334025606,0.2,Heavy,1,1,10,16,13,20
24,298.9795099482759,299.1795099482759,0.2,Medium,1,1,10,29,23,30
25,310.4522286162599,310.6522286162599,0.2,Medium,1,1,11,11,10,51
26,319.17160537102063,319.3716053710206,0.2,Medium,1,1,11,20,4,7
27,327.8980917678102,328.09809176781016,0.2,Heavy,1,1,11,28,21,33
28,339.94876925804454,340.1487692580445,0.2,Medium,1,1,12,10,22,46
29,352.43057000496225,352.63057000496224,0.2,Heavy,1,1,12,23,10,20
30,363.5875569091065,363.7875569091065,0.2,Heavy,1,2,1,4,14,6
31,374.9020796046479,375.1020796046479,0.2,Heavy,1,2,1,15,21,38
32,385.3430669055207,385.5430669055207,0.2,Medium,1,2,1,26,8,14
33,399.71550457336735,399.91550457336734,0.2,Heavy,1,2,2,10,17,10
34,411.73590814926456,411.93590814926455,0.2,Medium,1,2,2,22,17,39
35,422.0900734172089,422.2900734172089,0.2,Heavy,1,2,3,3,2,9
36,435.3156500087006,435.51565000870056,0.2,Heavy,1,2,3,16,7,34
37,444.7761239752991,444.97612397529906,0.2,Heavy,1,2,3,25,18,37
38,459.38456456520385,459.58456456520383,0.2,Medium,1,2,4,10,9,13
39,468.9498013243896,469.1498013243896,0.2,Heavy,1,2,4,19,22,47
40,483.5125771270019,483.7125771270019,0.2,Medium,1,2,5,4,12,18
41,492.20185735084834,492.40185735084833,0.2,Heavy,1,2,5,13,4,50
